id,name,taicol_taxon_id,is_valid,scientific_name,taxon_status,note,
729,白腹秧雞,t0085213,T,Amaurornis phoenicurus chinensis,accepted,ok,
730,台灣野豬2,,F,,,no-match,
731,台灣野豬1,,F,,,no-match,
732,貨車,,F,,,no-match,
733,穿山甲？,,F,,,no-match,
734,紅尾伯勞,t0027308,T,Lanius cristatus lucionensis,accepted,ok,
735,茶腹鳾,t0032907,T,Sitta europaea formosana,accepted,ok,
736,華南鼬鼠,t0085950,T,Mustela sibirica taivana,accepted,ok,
737,人＋狗,,F,,,ignored,
738,蜘蛛,,F,,,no-match,
739,不明(老鼠）,,F,,,no-match,
740,tend,,F,,,ignored,
741,X鶇,,F,,,no-match,
742,31808,,F,,,ignored,
743,蛾？,,F,,,no-match,
744,故障連拍,,F,,,no-match,
745,攀木蜥蜴,,F,,,no-match,
746,峰？,,F,,,no-match,
747,岩鷚,t0075485,T,Prunella collaris,accepted,ok,
748,山羌、鳥類,,F,,,no-match,
749,山羌 白鼻心,,F,,,no-match,
750,斑鳩,,F,,,no-match,
752,其它,,F,,,no-match,
753,鼠或鼩形目,,F,,,no-match,
754,台灣山鷓鴣,t0057735,T,Arborophila crudigularis,accepted,ok,
755,台灣竹雞,t0057884,T,Bambusicola sonorivox,accepted,ok,
756,黃痣藪眉,,F,,,no-match,
757,台灣紫嘯鶇,t0080787,T,Myophonus insularis,accepted,ok,
758,黃腹琉璃,t0098057,T,Niltava vivida,accepted,ok,
759,東方灰林鴞,t0033094,T,Strix nivicolum yamadae,accepted,ok,
761,黑長尾雉,t0046527,T,Syrmaticus mikado,accepted,ok,
762,松鴉,t0029283,T,Garrulus glandarius taivanus,accepted,ok,
763,台灣棕噪眉,,F,,,no-match,
764, 松鼠,,F,,,no-match,
765,台灣噪眉,t0102383,F,Garrulax morrisonianus,deleted,ok,
766,台灣白喉噪眉,t0032352,T,Pterorhinus ruficeps,accepted,ok,
768,./thumbnails/45/RCNX0479-q.jpg,,F,,,ignored,
769,./thumbnails/52/IMG_0300-q.jpg,,F,,,ignored,
770,水鹿,t0086217,T,Rusa unicolor swinhoii,accepted,ok,
771,山羌,t0096460,T,Muntiacus reevesi,accepted,ok,
772,獼猴,,F,,,no-match,
